"Tanggal","Source","Major","Total_Spending","Bulan","Month","Day","Week","Sources"
2021-06-09,"Facebook Ads","digital_marketing",329516,Jun 2021,Jun 2021,9,"2","Facebook Ads"
2021-06-10,"Facebook Ads","digital_marketing",275461,Jun 2021,Jun 2021,10,"2","Facebook Ads"
2021-06-11,"Facebook Ads","digital_marketing",302110,Jun 2021,Jun 2021,11,"2","Facebook Ads"
2021-06-12,"Facebook Ads","digital_marketing",307502,Jun 2021,Jun 2021,12,"2","Facebook Ads"
2021-06-13,"Facebook Ads","digital_marketing",235125,Jun 2021,Jun 2021,13,"2","Facebook Ads"
2021-06-14,"Facebook Ads","digital_marketing",250210,Jun 2021,Jun 2021,14,"2","Facebook Ads"
2021-06-15,"Facebook Ads","digital_marketing",330015,Jun 2021,Jun 2021,15,"3","Facebook Ads"
2021-06-16,"Facebook Ads","digital_marketing",333528,Jun 2021,Jun 2021,16,"3","Facebook Ads"
2021-06-17,"Facebook Ads","digital_marketing",289164,Jun 2021,Jun 2021,17,"3","Facebook Ads"
2021-06-18,"Facebook Ads","digital_marketing",288054,Jun 2021,Jun 2021,18,"3","Facebook Ads"
2021-06-19,"Facebook Ads","digital_marketing",316172,Jun 2021,Jun 2021,19,"3","Facebook Ads"
2021-06-20,"Facebook Ads","digital_marketing",295103,Jun 2021,Jun 2021,20,"3","Facebook Ads"
2021-06-21,"Facebook Ads","digital_marketing",292711,Jun 2021,Jun 2021,21,"3","Facebook Ads"
2021-06-22,"Facebook Ads","digital_marketing",292767,Jun 2021,Jun 2021,22,"4","Facebook Ads"
2021-06-23,"Facebook Ads","digital_marketing",294436,Jun 2021,Jun 2021,23,"4","Facebook Ads"
2021-06-24,"Facebook Ads","digital_marketing",411609,Jun 2021,Jun 2021,24,"4","Facebook Ads"
2021-06-25,"Facebook Ads","digital_marketing",449235,Jun 2021,Jun 2021,25,"4","Facebook Ads"
2021-06-26,"Facebook Ads","digital_marketing",769650,Jun 2021,Jun 2021,26,"4","Facebook Ads"
2021-06-27,"Facebook Ads","digital_marketing",763625,Jun 2021,Jun 2021,27,"4","Facebook Ads"
2021-06-28,"Facebook Ads","digital_marketing",757642,Jun 2021,Jun 2021,28,"4","Facebook Ads"
2021-06-29,"Facebook Ads","digital_marketing",654993,Jun 2021,Jun 2021,29,"5","Facebook Ads"
2021-06-30,"Facebook Ads","digital_marketing",654077,Jun 2021,Jun 2021,30,"5","Facebook Ads"
2021-07-01,"Facebook Ads","digital_marketing",444018,Jul 2021,Jul 2021,1,"1","Facebook Ads"
2021-07-05,"Facebook Ads","digital_marketing",242468,Jul 2021,Jul 2021,5,"1","Facebook Ads"
2021-07-06,"Facebook Ads","digital_marketing",309857,Jul 2021,Jul 2021,6,"1","Facebook Ads"
2021-07-07,"Facebook Ads","digital_marketing",306705,Jul 2021,Jul 2021,7,"1","Facebook Ads"
2021-07-08,"Facebook Ads","digital_marketing",310998,Jul 2021,Jul 2021,8,"2","Facebook Ads"
2021-07-09,"Facebook Ads","digital_marketing",308009,Jul 2021,Jul 2021,9,"2","Facebook Ads"
2021-07-10,"Facebook Ads","digital_marketing",316596,Jul 2021,Jul 2021,10,"2","Facebook Ads"
2021-07-11,"Facebook Ads","digital_marketing",301310,Jul 2021,Jul 2021,11,"2","Facebook Ads"
2021-07-12,"Facebook Ads","digital_marketing",287820,Jul 2021,Jul 2021,12,"2","Facebook Ads"
2021-07-13,"Facebook Ads","digital_marketing",271255,Jul 2021,Jul 2021,13,"2","Facebook Ads"
2021-07-14,"Facebook Ads","digital_marketing",281151,Jul 2021,Jul 2021,14,"2","Facebook Ads"
2021-07-15,"Facebook Ads","digital_marketing",405028,Jul 2021,Jul 2021,15,"3","Facebook Ads"
2021-07-16,"Facebook Ads","digital_marketing",387292,Jul 2021,Jul 2021,16,"3","Facebook Ads"
2021-07-17,"Facebook Ads","digital_marketing",400998,Jul 2021,Jul 2021,17,"3","Facebook Ads"
2021-07-18,"Facebook Ads","digital_marketing",399258,Jul 2021,Jul 2021,18,"3","Facebook Ads"
2021-07-19,"Facebook Ads","digital_marketing",394560,Jul 2021,Jul 2021,19,"3","Facebook Ads"
2021-07-20,"Facebook Ads","digital_marketing",495487,Jul 2021,Jul 2021,20,"3","Facebook Ads"
2021-07-21,"Facebook Ads","digital_marketing",530321,Jul 2021,Jul 2021,21,"3","Facebook Ads"
2021-07-22,"Facebook Ads","digital_marketing",534717,Jul 2021,Jul 2021,22,"4","Facebook Ads"
2021-07-23,"Facebook Ads","digital_marketing",358954,Jul 2021,Jul 2021,23,"4","Facebook Ads"
2021-07-24,"Facebook Ads","digital_marketing",382897,Jul 2021,Jul 2021,24,"4","Facebook Ads"
2021-07-25,"Facebook Ads","digital_marketing",503773,Jul 2021,Jul 2021,25,"4","Facebook Ads"
2021-07-26,"Facebook Ads","digital_marketing",535330,Jul 2021,Jul 2021,26,"4","Facebook Ads"
2021-07-27,"Facebook Ads","digital_marketing",634203,Jul 2021,Jul 2021,27,"4","Facebook Ads"
2021-07-28,"Facebook Ads","digital_marketing",555517,Jul 2021,Jul 2021,28,"4","Facebook Ads"
2021-07-29,"Facebook Ads","digital_marketing",458271,Jul 2021,Jul 2021,29,"5","Facebook Ads"
2021-07-30,"Facebook Ads","digital_marketing",472089,Jul 2021,Jul 2021,30,"5","Facebook Ads"
2021-07-31,"Facebook Ads","digital_marketing",459818,Jul 2021,Jul 2021,31,"5","Facebook Ads"
2021-08-01,"Facebook Ads","digital_marketing",437908,Aug 2021,Aug 2021,1,"1","Facebook Ads"
2021-08-02,"Facebook Ads","digital_marketing",692454,Aug 2021,Aug 2021,2,"1","Facebook Ads"
2021-08-03,"Facebook Ads","digital_marketing",946562,Aug 2021,Aug 2021,3,"1","Facebook Ads"
2021-08-04,"Facebook Ads","digital_marketing",938502,Aug 2021,Aug 2021,4,"1","Facebook Ads"
2021-08-05,"Facebook Ads","digital_marketing",900041,Aug 2021,Aug 2021,5,"1","Facebook Ads"
2021-08-06,"Facebook Ads","digital_marketing",641583,Aug 2021,Aug 2021,6,"1","Facebook Ads"
2021-08-07,"Facebook Ads","digital_marketing",291594,Aug 2021,Aug 2021,7,"1","Facebook Ads"
2021-08-08,"Facebook Ads","digital_marketing",300010,Aug 2021,Aug 2021,8,"2","Facebook Ads"
2021-08-09,"Facebook Ads","digital_marketing",315829,Aug 2021,Aug 2021,9,"2","Facebook Ads"
2021-08-10,"Facebook Ads","digital_marketing",344206,Aug 2021,Aug 2021,10,"2","Facebook Ads"
2021-08-11,"Facebook Ads","digital_marketing",442642,Aug 2021,Aug 2021,11,"2","Facebook Ads"
2021-08-12,"Facebook Ads","digital_marketing",498525,Aug 2021,Aug 2021,12,"2","Facebook Ads"
2021-08-13,"Facebook Ads","digital_marketing",557823,Aug 2021,Aug 2021,13,"2","Facebook Ads"
2021-08-14,"Facebook Ads","digital_marketing",580105,Aug 2021,Aug 2021,14,"2","Facebook Ads"
2021-08-15,"Facebook Ads","digital_marketing",599162,Aug 2021,Aug 2021,15,"3","Facebook Ads"
2021-08-16,"Facebook Ads","digital_marketing",587318,Aug 2021,Aug 2021,16,"3","Facebook Ads"
2021-08-17,"Facebook Ads","digital_marketing",644811,Aug 2021,Aug 2021,17,"3","Facebook Ads"
2021-08-18,"Facebook Ads","digital_marketing",668416,Aug 2021,Aug 2021,18,"3","Facebook Ads"
2021-08-19,"Facebook Ads","digital_marketing",672686,Aug 2021,Aug 2021,19,"3","Facebook Ads"
2021-08-20,"Facebook Ads","digital_marketing",507038,Aug 2021,Aug 2021,20,"3","Facebook Ads"
2021-08-21,"Facebook Ads","digital_marketing",507208,Aug 2021,Aug 2021,21,"3","Facebook Ads"
2021-08-22,"Facebook Ads","digital_marketing",284522,Aug 2021,Aug 2021,22,"4","Facebook Ads"
2021-08-23,"Facebook Ads","digital_marketing",488214,Aug 2021,Aug 2021,23,"4","Facebook Ads"
2021-08-24,"Facebook Ads","digital_marketing",565411,Aug 2021,Aug 2021,24,"4","Facebook Ads"
2021-08-25,"Facebook Ads","digital_marketing",570256,Aug 2021,Aug 2021,25,"4","Facebook Ads"
2021-08-26,"Facebook Ads","digital_marketing",574682,Aug 2021,Aug 2021,26,"4","Facebook Ads"
2021-08-27,"Facebook Ads","digital_marketing",503481,Aug 2021,Aug 2021,27,"4","Facebook Ads"
2021-08-28,"Facebook Ads","digital_marketing",557713,Aug 2021,Aug 2021,28,"4","Facebook Ads"
2021-08-29,"Facebook Ads","digital_marketing",495956,Aug 2021,Aug 2021,29,"5","Facebook Ads"
2021-08-30,"Facebook Ads","digital_marketing",231334,Aug 2021,Aug 2021,30,"5","Facebook Ads"
2021-08-31,"Facebook Ads","digital_marketing",199886,Aug 2021,Aug 2021,31,"5","Facebook Ads"
2021-09-01,"Facebook Ads","digital_marketing",197689,Sep 2021,Sep 2021,1,"1","Facebook Ads"
2021-09-02,"Facebook Ads","digital_marketing",196789,Sep 2021,Sep 2021,2,"1","Facebook Ads"
2021-09-03,"Facebook Ads","digital_marketing",189465,Sep 2021,Sep 2021,3,"1","Facebook Ads"
2021-09-04,"Facebook Ads","digital_marketing",193907,Sep 2021,Sep 2021,4,"1","Facebook Ads"
2021-09-05,"Facebook Ads","digital_marketing",199045,Sep 2021,Sep 2021,5,"1","Facebook Ads"
2021-09-06,"Facebook Ads","digital_marketing",199937,Sep 2021,Sep 2021,6,"1","Facebook Ads"
2021-09-07,"Facebook Ads","digital_marketing",196106,Sep 2021,Sep 2021,7,"1","Facebook Ads"
2021-09-08,"Facebook Ads","digital_marketing",193622,Sep 2021,Sep 2021,8,"2","Facebook Ads"
2021-09-09,"Facebook Ads","digital_marketing",204363,Sep 2021,Sep 2021,9,"2","Facebook Ads"
2021-09-10,"Facebook Ads","digital_marketing",207363,Sep 2021,Sep 2021,10,"2","Facebook Ads"
2021-09-11,"Facebook Ads","digital_marketing",189794,Sep 2021,Sep 2021,11,"2","Facebook Ads"
2021-09-12,"Facebook Ads","digital_marketing",193764,Sep 2021,Sep 2021,12,"2","Facebook Ads"
2021-09-13,"Facebook Ads","digital_marketing",198835,Sep 2021,Sep 2021,13,"2","Facebook Ads"
2021-09-14,"Facebook Ads","digital_marketing",195862,Sep 2021,Sep 2021,14,"2","Facebook Ads"
2021-09-15,"Facebook Ads","digital_marketing",206807,Sep 2021,Sep 2021,15,"3","Facebook Ads"
2021-09-16,"Facebook Ads","digital_marketing",214441,Sep 2021,Sep 2021,16,"3","Facebook Ads"
2021-09-17,"Facebook Ads","digital_marketing",260024,Sep 2021,Sep 2021,17,"3","Facebook Ads"
2021-09-18,"Facebook Ads","digital_marketing",284194,Sep 2021,Sep 2021,18,"3","Facebook Ads"
2021-09-19,"Facebook Ads","digital_marketing",313034,Sep 2021,Sep 2021,19,"3","Facebook Ads"
2021-09-20,"Facebook Ads","digital_marketing",317714,Sep 2021,Sep 2021,20,"3","Facebook Ads"
2021-09-21,"Facebook Ads","digital_marketing",421233,Sep 2021,Sep 2021,21,"3","Facebook Ads"
2021-09-22,"Facebook Ads","digital_marketing",375059,Sep 2021,Sep 2021,22,"4","Facebook Ads"
2021-09-23,"Facebook Ads","digital_marketing",351910,Sep 2021,Sep 2021,23,"4","Facebook Ads"
2021-09-24,"Facebook Ads","digital_marketing",350089,Sep 2021,Sep 2021,24,"4","Facebook Ads"
2021-09-25,"Facebook Ads","digital_marketing",369605,Sep 2021,Sep 2021,25,"4","Facebook Ads"
2021-09-26,"Facebook Ads","digital_marketing",390522,Sep 2021,Sep 2021,26,"4","Facebook Ads"
2021-09-27,"Facebook Ads","digital_marketing",558945,Sep 2021,Sep 2021,27,"4","Facebook Ads"
2021-09-28,"Facebook Ads","digital_marketing",566853,Sep 2021,Sep 2021,28,"4","Facebook Ads"
2021-09-29,"Facebook Ads","digital_marketing",569574,Sep 2021,Sep 2021,29,"5","Facebook Ads"
2021-09-30,"Facebook Ads","digital_marketing",559064,Sep 2021,Sep 2021,30,"5","Facebook Ads"
2021-10-01,"Facebook Ads","digital_marketing",591805,Oct 2021,Oct 2021,1,"1","Facebook Ads"
2021-10-02,"Facebook Ads","digital_marketing",480568,Oct 2021,Oct 2021,2,"1","Facebook Ads"
2021-10-03,"Facebook Ads","digital_marketing",495025,Oct 2021,Oct 2021,3,"1","Facebook Ads"
2021-10-04,"Facebook Ads","digital_marketing",399400,Oct 2021,Oct 2021,4,"1","Facebook Ads"
2021-10-05,"Facebook Ads","digital_marketing",374129,Oct 2021,Oct 2021,5,"1","Facebook Ads"
2021-10-06,"Facebook Ads","digital_marketing",180912,Oct 2021,Oct 2021,6,"1","Facebook Ads"
2021-10-07,"Facebook Ads","digital_marketing",251923,Oct 2021,Oct 2021,7,"1","Facebook Ads"
2021-10-08,"Facebook Ads","digital_marketing",198469,Oct 2021,Oct 2021,8,"2","Facebook Ads"
2021-10-09,"Facebook Ads","digital_marketing",201343,Oct 2021,Oct 2021,9,"2","Facebook Ads"
2021-10-10,"Facebook Ads","digital_marketing",201049,Oct 2021,Oct 2021,10,"2","Facebook Ads"
2021-10-11,"Facebook Ads","digital_marketing",122595,Oct 2021,Oct 2021,11,"2","Facebook Ads"
2021-10-12,"Facebook Ads","digital_marketing",100132,Oct 2021,Oct 2021,12,"2","Facebook Ads"
2021-10-13,"Facebook Ads","digital_marketing",120867,Oct 2021,Oct 2021,13,"2","Facebook Ads"
2021-10-14,"Facebook Ads","digital_marketing",198773,Oct 2021,Oct 2021,14,"2","Facebook Ads"
2021-10-15,"Facebook Ads","digital_marketing",196931,Oct 2021,Oct 2021,15,"3","Facebook Ads"
2021-10-16,"Facebook Ads","digital_marketing",196872,Oct 2021,Oct 2021,16,"3","Facebook Ads"
2021-10-17,"Facebook Ads","digital_marketing",362356,Oct 2021,Oct 2021,17,"3","Facebook Ads"
2021-10-18,"Facebook Ads","digital_marketing",624260,Oct 2021,Oct 2021,18,"3","Facebook Ads"
2021-10-19,"Facebook Ads","digital_marketing",711439,Oct 2021,Oct 2021,19,"3","Facebook Ads"
2021-10-20,"Facebook Ads","digital_marketing",706544,Oct 2021,Oct 2021,20,"3","Facebook Ads"
2021-10-21,"Facebook Ads","digital_marketing",690868,Oct 2021,Oct 2021,21,"3","Facebook Ads"
2021-10-22,"Facebook Ads","digital_marketing",798381,Oct 2021,Oct 2021,22,"4","Facebook Ads"
2021-10-23,"Facebook Ads","digital_marketing",802034,Oct 2021,Oct 2021,23,"4","Facebook Ads"
2021-10-24,"Facebook Ads","digital_marketing",804112,Oct 2021,Oct 2021,24,"4","Facebook Ads"
2021-10-25,"Facebook Ads","digital_marketing",797222,Oct 2021,Oct 2021,25,"4","Facebook Ads"
2021-10-26,"Facebook Ads","digital_marketing",776783,Oct 2021,Oct 2021,26,"4","Facebook Ads"
2021-10-27,"Facebook Ads","digital_marketing",324203,Oct 2021,Oct 2021,27,"4","Facebook Ads"
2021-10-28,"Facebook Ads","digital_marketing",147487,Oct 2021,Oct 2021,28,"4","Facebook Ads"
2021-10-29,"Facebook Ads","digital_marketing",256854,Oct 2021,Oct 2021,29,"5","Facebook Ads"
2021-10-30,"Facebook Ads","digital_marketing",836384,Oct 2021,Oct 2021,30,"5","Facebook Ads"
2021-10-31,"Facebook Ads","digital_marketing",875221,Oct 2021,Oct 2021,31,"5","Facebook Ads"
2021-11-01,"Facebook Ads","digital_marketing",588287,Nov 2021,Nov 2021,1,"1","Facebook Ads"
2021-11-04,"Facebook Ads","digital_marketing",76388,Nov 2021,Nov 2021,4,"1","Facebook Ads"
2021-11-05,"Facebook Ads","digital_marketing",52238,Nov 2021,Nov 2021,5,"1","Facebook Ads"
2021-11-06,"Facebook Ads","digital_marketing",116789,Nov 2021,Nov 2021,6,"1","Facebook Ads"
2021-11-07,"Facebook Ads","digital_marketing",99535,Nov 2021,Nov 2021,7,"1","Facebook Ads"
2021-11-08,"Facebook Ads","digital_marketing",96710,Nov 2021,Nov 2021,8,"2","Facebook Ads"
2021-11-09,"Facebook Ads","digital_marketing",97527,Nov 2021,Nov 2021,9,"2","Facebook Ads"
2021-11-10,"Facebook Ads","digital_marketing",145722,Nov 2021,Nov 2021,10,"2","Facebook Ads"
2021-11-11,"Facebook Ads","digital_marketing",224619,Nov 2021,Nov 2021,11,"2","Facebook Ads"
2021-11-12,"Facebook Ads","digital_marketing",262905,Nov 2021,Nov 2021,12,"2","Facebook Ads"
2021-11-13,"Facebook Ads","digital_marketing",120121,Nov 2021,Nov 2021,13,"2","Facebook Ads"
2021-11-14,"Facebook Ads","digital_marketing",74888,Nov 2021,Nov 2021,14,"2","Facebook Ads"
2021-11-15,"Facebook Ads","digital_marketing",73632,Nov 2021,Nov 2021,15,"3","Facebook Ads"
2021-11-16,"Facebook Ads","digital_marketing",337679,Nov 2021,Nov 2021,16,"3","Facebook Ads"
2021-11-17,"Facebook Ads","digital_marketing",402748,Nov 2021,Nov 2021,17,"3","Facebook Ads"
2021-11-18,"Facebook Ads","digital_marketing",412714,Nov 2021,Nov 2021,18,"3","Facebook Ads"
2021-11-19,"Facebook Ads","digital_marketing",409325,Nov 2021,Nov 2021,19,"3","Facebook Ads"
2021-11-20,"Facebook Ads","digital_marketing",407172,Nov 2021,Nov 2021,20,"3","Facebook Ads"
2021-11-21,"Facebook Ads","digital_marketing",402274,Nov 2021,Nov 2021,21,"3","Facebook Ads"
2021-11-22,"Facebook Ads","digital_marketing",399946,Nov 2021,Nov 2021,22,"4","Facebook Ads"
2021-11-23,"Facebook Ads","digital_marketing",392647,Nov 2021,Nov 2021,23,"4","Facebook Ads"
2021-11-24,"Facebook Ads","digital_marketing",380195,Nov 2021,Nov 2021,24,"4","Facebook Ads"
2021-11-25,"Facebook Ads","digital_marketing",330752,Nov 2021,Nov 2021,25,"4","Facebook Ads"
2021-11-26,"Facebook Ads","digital_marketing",289998,Nov 2021,Nov 2021,26,"4","Facebook Ads"
2021-11-27,"Facebook Ads","digital_marketing",303620,Nov 2021,Nov 2021,27,"4","Facebook Ads"
2021-11-28,"Facebook Ads","digital_marketing",301380,Nov 2021,Nov 2021,28,"4","Facebook Ads"
2021-11-29,"Facebook Ads","digital_marketing",188146,Nov 2021,Nov 2021,29,"5","Facebook Ads"
2021-11-30,"Facebook Ads","digital_marketing",108322,Nov 2021,Nov 2021,30,"5","Facebook Ads"
2021-12-01,"Facebook Ads","digital_marketing",58141,Dec 2021,Dec 2021,1,"1","Facebook Ads"
2021-12-02,"Facebook Ads","digital_marketing",37646,Dec 2021,Dec 2021,2,"1","Facebook Ads"
2021-12-03,"Facebook Ads","digital_marketing",29036,Dec 2021,Dec 2021,3,"1","Facebook Ads"
2021-12-04,"Facebook Ads","digital_marketing",28638,Dec 2021,Dec 2021,4,"1","Facebook Ads"
2021-12-05,"Facebook Ads","digital_marketing",4608,Dec 2021,Dec 2021,5,"1","Facebook Ads"
2021-12-07,"Facebook Ads","digital_marketing",25917,Dec 2021,Dec 2021,7,"1","Facebook Ads"
2021-12-08,"Facebook Ads","digital_marketing",48053,Dec 2021,Dec 2021,8,"2","Facebook Ads"
2021-12-09,"Facebook Ads","digital_marketing",49479,Dec 2021,Dec 2021,9,"2","Facebook Ads"
2021-12-10,"Facebook Ads","digital_marketing",14834,Dec 2021,Dec 2021,10,"2","Facebook Ads"
2021-12-22,"Facebook Ads","digital_marketing",22924,Dec 2021,Dec 2021,22,"4","Facebook Ads"
2021-12-23,"Facebook Ads","digital_marketing",181772,Dec 2021,Dec 2021,23,"4","Facebook Ads"
2021-12-24,"Facebook Ads","digital_marketing",183491,Dec 2021,Dec 2021,24,"4","Facebook Ads"
2021-12-25,"Facebook Ads","digital_marketing",113408,Dec 2021,Dec 2021,25,"4","Facebook Ads"
2021-12-26,"Facebook Ads","digital_marketing",100504,Dec 2021,Dec 2021,26,"4","Facebook Ads"
2021-12-27,"Facebook Ads","digital_marketing",227425,Dec 2021,Dec 2021,27,"4","Facebook Ads"
2021-12-28,"Facebook Ads","digital_marketing",561686,Dec 2021,Dec 2021,28,"4","Facebook Ads"
2021-12-29,"Facebook Ads","digital_marketing",860410,Dec 2021,Dec 2021,29,"5","Facebook Ads"
2021-12-30,"Facebook Ads","digital_marketing",974830,Dec 2021,Dec 2021,30,"5","Facebook Ads"
2021-12-31,"Facebook Ads","digital_marketing",803043,Dec 2021,Dec 2021,31,"5","Facebook Ads"
2022-01-04,"Facebook Ads","digital_marketing",84665,Jan 2022,Jan 2022,4,"1","Facebook Ads"
2022-01-05,"Facebook Ads","digital_marketing",133486,Jan 2022,Jan 2022,5,"1","Facebook Ads"
2022-01-06,"Facebook Ads","digital_marketing",138450,Jan 2022,Jan 2022,6,"1","Facebook Ads"
2022-01-07,"Facebook Ads","digital_marketing",142488,Jan 2022,Jan 2022,7,"1","Facebook Ads"
2022-01-08,"Facebook Ads","digital_marketing",88242,Jan 2022,Jan 2022,8,"2","Facebook Ads"
2022-01-12,"Facebook Ads","digital_marketing",36466,Jan 2022,Jan 2022,12,"2","Facebook Ads"
2022-01-13,"Facebook Ads","digital_marketing",80855,Jan 2022,Jan 2022,13,"2","Facebook Ads"
2022-01-14,"Facebook Ads","digital_marketing",25974,Jan 2022,Jan 2022,14,"2","Facebook Ads"
2022-01-25,"Facebook Ads","digital_marketing",101694,Jan 2022,Jan 2022,25,"4","Facebook Ads"
2022-01-26,"Facebook Ads","digital_marketing",233916,Jan 2022,Jan 2022,26,"4","Facebook Ads"
2022-01-27,"Facebook Ads","digital_marketing",315585,Jan 2022,Jan 2022,27,"4","Facebook Ads"
2022-01-28,"Facebook Ads","digital_marketing",442916,Jan 2022,Jan 2022,28,"4","Facebook Ads"
2022-01-29,"Facebook Ads","digital_marketing",573621,Jan 2022,Jan 2022,29,"5","Facebook Ads"
2022-01-30,"Facebook Ads","digital_marketing",691571,Jan 2022,Jan 2022,30,"5","Facebook Ads"
2022-01-31,"Facebook Ads","digital_marketing",1246603,Jan 2022,Jan 2022,31,"5","Facebook Ads"
2022-02-01,"Facebook Ads","digital_marketing",1430913,Feb 2022,Feb 2022,1,"1","Facebook Ads"
2022-02-02,"Facebook Ads","digital_marketing",1733215,Feb 2022,Feb 2022,2,"1","Facebook Ads"
2022-02-03,"Facebook Ads","digital_marketing",1757969,Feb 2022,Feb 2022,3,"1","Facebook Ads"
2022-02-04,"Facebook Ads","digital_marketing",233525,Feb 2022,Feb 2022,4,"1","Facebook Ads"
